Months,Years,publishDate,Count_video_uploads,series,CountViews,CountComment,CountLikes
,,1/1/2015,134,MrBeast,9848463,26921,193865
1,2015,1/1/2015,143,T-series,852695185,4602926,115567
,,2/1/2015,833,MrBeast,37119281,323845,899043
2,2015,2/1/2015,71,T-series,1652278858,8537848,161040
,,3/1/2015,953,MrBeast,96322667,299157,1771540
3,2015,3/1/2015,80,T-series,688939421,4741766,94527
,,4/1/2015,1931,MrBeast,336587038,2080505,9269448
4,2015,4/1/2015,55,T-series,958714189,4879996,108273
,,5/1/2015,2696,MrBeast,88948594,440565,2460735
5,2015,5/1/2015,66,T-series,334942789,2429702,56834
,,6/1/2015,1694,MrBeast,85064591,395761,2129222
6,2015,6/1/2015,37,T-series,736913758,3266628,76514
,,7/1/2015,3298,MrBeast,909811181,2130191,12498473
7,2015,7/1/2015,89,T-series,1532176335,8363223,216895
,,8/1/2015,5904,MrBeast,776476074,2746517,25327795
8,2015,8/1/2015,105,T-series,1303284957,7815931,214237
,,9/1/2015,1872,MrBeast,4514095224,11451306,208042401
9,2015,9/1/2015,106,T-series,1623923349,10770100,248790
,,10/1/2015,962,MrBeast,196369440,559114,6761616
10,2015,10/1/2015,98,T-series,1693488279,9667087,238675
,,11/1/2015,359,MrBeast,2587726269,7205912,102188523
11,2015,11/1/2015,74,T-series,896518682,5360321,144317
,,12/1/2015,430,MrBeast,168357348,463593,4807651
12,2015,12/1/2015,110,T-series,3044080024,12413681,292142
,,1/1/2016,319,MrBeast,35078588,119047,1278095
1,2016,1/1/2016,100,T-series,836874756,5319569,157552
,,2/1/2016,691,MrBeast,28367176293,31497480,351444194
2,2016,2/1/2016,178,T-series,2973118557,15756106,396096
,,3/1/2016,144,MrBeast,166836517,277492,7563234
3,2016,3/1/2016,117,T-series,1379588481,7976352,201928
,,4/1/2016,354,MrBeast,468802034,3059059,30072344
4,2016,4/1/2016,177,T-series,2216839629,12696055,299788
,,5/1/2016,581,MrBeast,75779477,306315,3859872
5,2016,5/1/2016,170,T-series,3062608014,15577597,321306
,,6/1/2016,437,MrBeast,8294841819,9982182,245185943
6,2016,6/1/2016,104,T-series,2040244240,11841673,266271
,,7/1/2016,79,MrBeast,92043515,591005,5411503
7,2016,7/1/2016,109,T-series,710791100,4423883,106182
,,8/1/2016,184,MrBeast,292697470,658230,10180615
8,2016,8/1/2016,87,T-series,1140958236,5581442,154244
,,9/1/2016,18,MrBeast,11762139,83606,546104
9,2016,9/1/2016,177,T-series,2364629939,13021783,301638
,,10/1/2016,56,MrBeast,82081551,255405,2745421
10,2016,10/1/2016,141,T-series,950690123,6172769,200764
,,11/1/2016,617,MrBeast,4323710415,8225747,170054688
11,2016,11/1/2016,145,T-series,2442906915,16043649,437577
,,12/1/2016,1167,MrBeast,13560441385,36771343,449676842
12,2016,12/1/2016,118,T-series,1501470951,9436379,259321
,,1/1/2017,532,MrBeast,14411474847,66442443,691957309
1,2017,1/1/2017,86,T-series,663313489,4991122,129638
,,2/1/2017,759,MrBeast,3702227360,16769032,160519026
2,2017,2/1/2017,125,T-series,2200410080,10012014,282845
,,3/1/2017,812,MrBeast,29547204494,3584212,1354722768
3,2017,3/1/2017,142,T-series,886878914,5193930,129723
,,4/1/2017,80,MrBeast,194406787,236634,3879712
4,2017,4/1/2017,119,T-series,1398964943,7809048,185665
,,5/1/2017,544,MrBeast,20972539070,46715911,811898081
5,2017,5/1/2017,155,T-series,2227278194,13533924,381651
,,6/1/2017,2107,MrBeast,44256974751,89792093,1324372508
6,2017,6/1/2017,129,T-series,2570344571,16612717,408437
,,7/1/2017,103,MrBeast,3273413790,3586693,86145450
7,2017,7/1/2017,143,T-series,2885713605,17281113,675413
,,8/1/2017,769,MrBeast,15907830416,39810532,515661913
8,2017,8/1/2017,202,T-series,1640025667,8763509,222289
,,9/1/2017,909,MrBeast,10888918065,20950906,380315448
10,2017,9/1/2017,127,T-series,1530580768,8505470,268300
,,10/1/2017,1385,MrBeast,31695646290,34014326,843463391
12,2017,10/1/2017,99,T-series,2238783931,13140115,564438
,,11/1/2017,1178,MrBeast,43174016372,72752727,1207930178
1,2018,11/1/2017,89,T-series,1708631268,10866889,363139
,,12/1/2017,1662,MrBeast,53546160296,75194133,1510979168
2,2018,12/1/2017,143,T-series,3085319085,15983635,451017
,,1/1/2018,1365,MrBeast,45960063340,67992229,1206326048
3,2018,1/1/2018,163,T-series,3233310172,18378487,586153
,,2/1/2018,2253,MrBeast,60487944867,79353503,1372008564
4,2018,2/1/2018,89,T-series,1894814208,12089039,422520
,,3/1/2018,2071,MrBeast,42805416890,59255732,1033419571
5,2018,3/1/2018,63,T-series,1030295611,7906616,200801
,,4/1/2018,2587,MrBeast,1.65E+11,164762441,3215110810
6,2018,4/1/2018,39,T-series,1500995796,10140198,431813
,,5/1/2018,1661,MrBeast,80026050690,68922416,1768533067
7,2018,5/1/2018,123,T-series,3747267303,21955305,768078
,,6/1/2018,2353,MrBeast,1.74E+11,151101504,4076542353
8,2018,6/1/2018,132,T-series,4493602422,24340714,711256
,,7/1/2018,3905,MrBeast,1.85E+11,179620028,3438083942
9,2018,7/1/2018,117,T-series,1392463601,9070505,322862
,,8/1/2018,2510,MrBeast,1.34E+11,155085689,3119527489
10,2018,8/1/2018,118,T-series,3341136737,23446836,675871
,,9/1/2018,3568,MrBeast,2.37E+11,302909935,6058884689
11,2018,9/1/2018,89,T-series,2173925201,17426325,681801
,,10/1/2018,3842,MrBeast,2.77E+11,248801185,6037377380
12,2018,10/1/2018,113,T-series,5254075371,30107398,1262284
,,11/1/2018,3791,MrBeast,3.32E+11,408994649,17889850920
1,2019,11/1/2018,96,T-series,1469177938,13642345,452998
,,12/1/2018,2633,MrBeast,1.96E+11,225291644,4600489721
2,2019,12/1/2018,90,T-series,1840561499,11094744,371064
,,1/1/2019,2701,MrBeast,2.01E+11,223149135,5362158416
3,2019,1/1/2019,80,T-series,1084595319,9157489,324381
,,2/1/2019,3227,MrBeast,2.14E+11,171239504,5093412884
4,2019,2/1/2019,82,T-series,4016648894,32932552,1061042
,,3/1/2019,2162,MrBeast,2.41E+11,246887560,5626447006
5,2019,3/1/2019,110,T-series,1322025203,12531052,435682
,,4/1/2019,3004,MrBeast,2.69E+11,248282594,6283173938
6,2019,4/1/2019,128,T-series,2752971939,23772022,561974
,,5/1/2019,1650,MrBeast,1.40E+11,153983275,3217562119
7,2019,5/1/2019,141,T-series,3388289960,28492292,705579
,,6/1/2019,4342,MrBeast,4.78E+11,349871283,11114244951
8,2019,6/1/2019,137,T-series,2854565816,24192420,601924
,,7/1/2019,1976,MrBeast,1.31E+11,97653624,3093416575
9,2019,7/1/2019,82,T-series,2786014515,25221770,765331
,,8/1/2019,2691,MrBeast,2.88E+11,239124311,7044786383
10,2019,8/1/2019,117,T-series,3787469471,25446695,655234
,,9/1/2019,3304,MrBeast,3.54E+11,233612899,7875430570
11,2019,9/1/2019,187,T-series,3695685140,28277779,857754
,,10/1/2019,3374,MrBeast,2.89E+11,473145554,8834729449
12,2019,10/1/2019,133,T-series,2786730040,22137333,526238
,,11/1/2019,1257,MrBeast,1.14E+11,59232011,2388686136
1,2020,11/1/2019,122,T-series,2126642650,19296630,444373
,,12/1/2019,1870,MrBeast,2.44E+11,165110447,5538401194
2,2020,12/1/2019,143,T-series,4252995876,29184515,666145
,,1/1/2020,2170,MrBeast,2.39E+11,170744142,5835616864
3,2020,1/1/2020,77,T-series,1122545095,12891333,681181
,,2/1/2020,1602,MrBeast,1.57E+11,107694250,3889812654
4,2020,2/1/2020,95,T-series,851150812,8766273,406947
,,3/1/2020,1632,MrBeast,2.32E+11,185380482,6158029565
5,2020,3/1/2020,109,T-series,881634728,8657503,340021
,,4/1/2020,1637,MrBeast,2.04E+11,209816831,4769507481
6,2020,4/1/2020,100,T-series,922590067,8520560,295635
,,5/1/2020,1094,MrBeast,1.73E+11,210188984,4679214321
7,2020,5/1/2020,73,T-series,877086758,8477342,307966
,,6/1/2020,2724,MrBeast,3.79E+11,397203940,9398902060
8,2020,6/1/2020,69,T-series,643629261,9526567,716972
,,7/1/2020,2154,MrBeast,1.77E+11,257154433,5718289225
9,2020,7/1/2020,70,T-series,808387197,8851826,441854
,,8/1/2020,2685,MrBeast,2.66E+11,396081146,9267398361
10,2020,8/1/2020,73,T-series,2531077640,25805338,1151228
,,9/1/2020,1101,MrBeast,2.00E+11,101847311,3631097161
11,2020,9/1/2020,66,T-series,1412301255,16757419,781257
,,10/1/2020,1653,MrBeast,1.90E+11,563662292,6691551330
12,2020,10/1/2020,88,T-series,845855618,10178518,737046
,,11/1/2020,1637,MrBeast,1.85E+11,356528396,7589776203
1,2021,11/1/2020,80,T-series,1070615613,14500631,558987
,,12/1/2020,532,MrBeast,25980114538,81410173,1524644092
2,2021,12/1/2020,76,T-series,2559920203,27362623,952156
,,1/1/2021,1647,MrBeast,2.42E+11,264002471,7140157292
3,2021,1/1/2021,134,T-series,763907790,12709670,423800
,,2/1/2021,2189,MrBeast,3.37E+11,305996374,8041972719
4,2021,2/1/2021,131,T-series,1097621999,12007507,373532
,,3/1/2021,1637,MrBeast,2.11E+11,148484413,4766640489
6,2021,3/1/2021,92,T-series,694201762,10603980,366403
,,4/1/2021,1088,MrBeast,1.16E+11,85980634,2988521759
7,2021,4/1/2021,80,T-series,1241058433,15599480,572928
,,5/1/2021,1092,MrBeast,1.99E+11,112653139,4700456369
8,2021,5/1/2021,83,T-series,802271624,10307108,304068
,,6/1/2021,1097,MrBeast,1.15E+11,123007505,3734855645
9,2021,6/1/2021,119,T-series,1172924796,15185974,451075
,,7/1/2021,1098,MrBeast,1.09E+11,168400978,4765454229
10,2021,7/1/2021,74,T-series,1507893430,21325826,707960
,,8/1/2021,552,MrBeast,1.93E+11,337474653,8322598644
11,2021,8/1/2021,117,T-series,2193118955,26578326,534974
,,9/1/2021,1655,MrBeast,1.43E+11,174615475,5312761219
12,2021,9/1/2021,163,T-series,2066777316,24501180,497603
,,10/1/2021,515,MrBeast,83423128580,71131672,2259849220
1,2022,10/1/2021,121,T-series,2404424931,25922419,369557
,,11/1/2021,462,MrBeast,53903642453,44620545,1544538440
3,2022,11/1/2021,153,T-series,1032055780,14878246,683879
,,12/1/2021,437,MrBeast,61959936653,63038620,1887271292
4,2022,12/1/2021,155,T-series,935182179,12160107,382485
,,1/1/2022,427,MrBeast,71844260246,72921302,2279876372
6,2022,1/1/2022,158,T-series,537990243,9050057,439808
,,2/1/2022,954,MrBeast,86139185068,114298830,3041247369
7,2022,2/1/2022,187,T-series,547157860,7898156,230678
,,3/1/2022,840,MrBeast,90437866817,130071954,3357249166
8,2022,3/1/2022,133,T-series,760681761,11769053,407597
,,4/1/2022,776,MrBeast,93327508225,59834346,2613111453
9,2022,4/1/2022,116,T-series,914101465,17453846,536439
,,5/1/2022,783,MrBeast,1.66E+11,58287408,8322816799
10,2022,5/1/2022,211,T-series,751778621,10819147,335414
,,6/1/2022,1010,MrBeast,2.90E+11,70267856,12005895198
11,2022,6/1/2022,180,T-series,779413982,9820713,312894
,,7/1/2022,1227,MrBeast,3.38E+11,133790320,13867687150
12,2022,7/1/2022,114,T-series,651189859,8800417,250900
,,8/1/2022,256,MrBeast,35547137246,100048154,2405814275
1,2023,8/1/2022,154,T-series,647432127,10845082,380307
,,9/1/2022,237,MrBeast,38298819969,4596581,2138008836
2,2023,9/1/2022,155,T-series,907232175,9863033,337323
,,10/1/2022,408,MrBeast,75317562033,30901714,3660169993
3,2023,10/1/2022,158,T-series,583973694,7940436,209994
,,11/1/2022,470,MrBeast,81666268007,34837322,3717759203
4,2023,11/1/2022,274,T-series,282503893,6607487,324312
,,12/1/2022,401,MrBeast,65814168420,43764746,2620721110
5,2023,12/1/2022,145,T-series,429878822,7370902,305071
,,1/1/2023,257,MrBeast,38815644354,19283421,1508072433
6,2023,1/1/2023,149,T-series,534415197,5998885,254478
,,2/1/2023,218,MrBeast,28952681933,7568477,1777215366
7,2023,2/1/2023,195,T-series,288432021,3464583,222343
,,3/1/2023,420,MrBeast,50900240940,37410574,2348635767
8,2023,3/1/2023,95,T-series,108817670,2050043,116715
